Row,p_enriMat1,p_enriMat2,p_enriMat3,p_enriMat4,p_enriMat5,p_enriMat6,p_enriMat7,p_enriMat8,p_enriMat9,p_enriMat10,p_enriMat11,p_enriMat12,p_enriMat13,p_enriMat14,p_enriMat15,p_enriMat16,p_enriMat17,p_enriMat18,p_enriMat19,p_enriMat20,p_enriMat21,p_enriMat22,p_enriMat23
-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.3,1,1,1,1,1,1,1,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457,0.727637954504457
-0.29,1,1,1,1,1,1,1,0.727637954504457,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.28,1,1,1,1,1,1,1,0.727637954504457,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.27,1,1,1,1,1,1,1,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.26,1,1,1,1,1,0.941595852593387,0.941595852593387,0.894459679810268,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.25,1,1,1,1,1,0.941595852593387,0.941595852593387,0.894459679810268,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.620659005459952,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.24,1,0.727637954504457,1,1,0.941595852593387,0.840832468472706,0.840832468472706,0.783635356060244,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.23,1,0.727637954504457,1,1,0.941595852593387,0.840832468472706,0.840832468472706,0.783635356060244,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.22,1,0.727637954504457,1,1,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.21,1,0.727637954504457,1,1,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.2,1,0.727637954504457,1,1,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121,0.451532025394121
-0.19,1,0.727637954504457,1,0.941595852593387,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244
-0.18,1,0.727637954504457,1,0.941595852593387,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244,0.783635356060244
-0.17,1,0.727637954504457,1,0.840832468472706,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427
-0.16,1,0.529392114009837,1,0.840832468472706,0.840832468472706,0.840832468472706,0.840832468472706,0.783635356060244,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427,0.725072676580427
-0.15,1,0.529392114009837,1,0.783635356060244,0.783635356060244,0.783635356060244,0.725072676580427,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932,0.666779190911932
-0.14,0.853030033765686,0.451532025394121,1,0.725072676580427,0.725072676580427,0.666779190911932,0.666779190911932,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134,0.609939596618134
-0.13,0.853030033765686,0.451532025394121,0.941595852593387,0.725072676580427,0.725072676580427,0.609939596618134,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555,0.555385271701555
-0.12,0.853030033765686,0.451532025394121,0.941595852593387,0.725072676580427,0.666779190911932,0.409983362902323,0.455144527481278,0.409983362902323,0.455144527481278,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.409983362902323,0.368248434996007
-0.11,0.853030033765686,0.451532025394121,0.941595852593387,0.666779190911932,0.555385271701555,0.329909199328586,0.368248434996007,0.329909199328586,0.409983362902323,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007,0.368248434996007
-0.1,0.853030033765686,0.783635356060244,0.941595852593387,0.555385271701555,0.617453466834214,0.494117972395773,0.494117972395773,0.234099551056656,0.294870139952006,0.294870139952006,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006
-0.09,0.853030033765686,0.783635356060244,0.941595852593387,0.409983362902323,0.455873151999127,0.384848355806338,0.384848355806338,0.384848355806338,0.533967538884521,0.494117972395773,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.262990486761005,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006,0.294870139952006
-0.08,0.727637954504457,0.725072676580427,0.840832468472706,0.294870139952006,0.35226393852053,0.293128693547484,0.293128693547484,0.42402992462993,0.521622308714128,0.48801910705478,0.521622308714128,0.521622308714128,0.521622308714128,0.521622308714128,0.521622308714128,0.521622308714128,0.521622308714128,0.556087559035291,0.556087559035291,0.556087559035291,0.556087559035291,0.556087559035291,0.556087559035291
-0.07,0.941595852593387,0.666779190911932,0.840832468472706,0.494117972395773,0.521622308714128,0.337680706050241,0.512973115150823,0.512973115150823,0.483373697356476,0.454515682060697,0.454515682060697,0.454515682060697,0.454515682060697,0.454515682060697,0.483373697356476,0.483373697356476,0.483373697356476,0.543192145877633,0.543192145877633,0.543192145877633,0.543192145877633,0.543192145877633,0.543192145877633
-0.06,0.941595852593387,0.788093412168229,0.840832468472706,0.556087559035291,0.588995344387855,0.45335043926064,0.427827197480423,0.427827197480423,0.427827197480423,0.40303133813766,0.40303133813766,0.355848572243811,0.379022269908692,0.379022269908692,0.379022269908692,0.355848572243811,0.379022269908692,0.40303133813766,0.379022269908692,0.379022269908692,0.40303133813766,0.40303133813766,0.40303133813766
-0.05,0.840832468472706,0.703530932665548,0.840832468472706,0.616991363745309,0.576602353537,0.519344618118613,0.407116022917174,0.386102579398501,0.386102579398501,0.365669589815154,0.407116022917174,0.428671716753921,0.386102579398501,0.407116022917174,0.407116022917174,0.407116022917174,0.407116022917174,0.428671716753921,0.345849476969845,0.345849476969845,0.345849476969845,0.345849476969845,0.345849476969845
-0.04,0.783635356060244,0.41940947411487,0.840832468472706,0.627883321968453,0.386102579398501,0.225884500167301,0.211520456657918,0.225884500167301,0.211520456657918,0.211520456657918,0.256699628746019,0.273155765643187,0.256699628746019,0.256699628746019,0.256699628746019,0.256699628746019,0.256699628746019,0.240942806697551,0.225884500167301,0.225884500167301,0.211520456657918,0.184842928602032,0.184842928602032
-0.03,0.783635356060244,0.178924781497492,0.840832468472706,0.340471755499297,0.139327088274419,0.120765696688435,0.139016229089556,0.159411602693576,0.159411602693576,0.159411602693576,0.170452759146871,0.159411602693576,0.148937713024154,0.148937713024154,0.159411602693576,0.242038954530126,0.215139378095151,0.228309584500941,0.271176505621735,0.256328420450273,0.256328420450273,0.242038954530126,0.242038954530126
-0.02,0.703530932665548,0.324374787484595,0.725072676580427,0.564222961747901,0.155235000724624,0.159066186653068,0.119132936690809,0.18856931118804,0.263487250087817,0.227005168200143,0.263487250087817,0.250925504835422,0.215649411405985,0.215649411405985,0.238764115888707,0.238764115888707,0.159066186653068,0.159066186653068,0.150053872774375,0.150053872774375,0.150053872774375,0.150053872774375,0.150053872774375
-0.01,0.767519636671732,0.116130535274655,0.184519546410648,0.267720301672072,0.0910453272497553,0.0576342255343589,0.0576342255343589,0.0798168809932936,0.0949908340254758,0.050680586017724,0.119767322145339,0.126701857890414,0.0894975332443918,0.0894975332443918,0.0894975332443918,0.0659476235092843,0.0541792814293232,0.0541792814293232,0.050680586017724,0.0473790434841145,0.0541792814293232,0.050680586017724,0.050680586017724
0,0.558005879774397,0.00319144649595504,0.0422410147448019,0.0199894385165585,0.0165644569816208,0.0225030784678287,0.0156340616615595,0.0121683837384002,0.0121019930899328,0.00374740904129469,0.0156340616615595,0.00624124699385293,0.0299024234857891,0.0210182597726943,0.0186870662328992,0.0210182597726943,0.00442034522964643,0.00357853181188415,0.00657151596898115,0.0369595249380684,0.0222779253703683,0.00714645060740303,0.0166288205712622
0.01,8.61139561141505e-06,1.64637896600586e-07,8.70430024186804e-09,2.17507692619801e-08,2.73937250835273e-07,3.01663937689908e-07,2.0151319223056e-07,2.73937250835273e-07,3.05704885246672e-07,5.18253157121883e-07,6.19366106005296e-07,9.49129291530788e-07,5.07797664507057e-07,4.23893420471149e-07,2.03622614757835e-07,1.36499104404525e-07,5.81416583839386e-08,1.73541896920903e-07,1.3316570546646e-08,2.58341314387264e-08,1.92521029563826e-08,1.16422938615334e-08,3.26271828158696e-09
0.02,9.84321715735194e-06,7.4695110947135e-10,4.52668508588414e-09,1.34910861986911e-07,6.23572346456225e-08,7.44100195626706e-09,5.95577746593116e-09,2.09018334761088e-09,4.98780134974926e-09,4.98780134974926e-09,6.51513851865802e-09,6.21919954367311e-09,1.03520535872517e-08,2.16415270537457e-08,7.27258912237476e-09,4.34198158893992e-09,7.59365360207115e-09,4.96737055606101e-09,3.4582643568001e-09,6.49238573997486e-09,1.68038284142634e-09,4.23652347966871e-09,3.95982254985465e-09
0.03,1.05268360589215e-05,7.5019396568679e-10,7.2313109972434e-09,2.61479199061387e-07,1.57557205528428e-07,1.79660218049782e-08,5.08677857982247e-09,3.10882503791524e-10,2.95557359844973e-10,9.85942514502825e-11,5.89803833716333e-10,1.92738236588204e-10,6.65358279539074e-10,6.52857469971185e-10,7.78740127071664e-10,3.72755752102444e-10,1.88775676984411e-10,1.28941914107123e-10,2.38795674768751e-10,1.19942084817683e-10,4.11911082131814e-11,9.69997591864944e-11,8.38298555438617e-11
0.04,1.9950083678546e-06,1.03620036341081e-08,3.7299143392365e-09,2.91227772744871e-07,6.75124405472099e-08,7.11704589977607e-10,7.30950015213687e-10,2.32789176194487e-10,6.91171578182793e-10,1.69506187493108e-08,2.50868220716823e-09,2.03148728073294e-09,3.7336887741397e-09,8.32461476997583e-09,1.64254220151287e-09,6.45107866574061e-10,4.89017001808305e-10,1.00249973072141e-10,2.8318727822152e-10,1.96273584071252e-10,5.17340716512934e-10,4.44139071762492e-10,9.61804738865503e-10
0.05,1.06631798127288e-05,4.15269501204747e-11,2.84715062481454e-08,6.34029120977566e-08,4.65070815874708e-09,8.24143219362423e-11,1.42989416740547e-10,3.29929631648994e-11,2.25715489648848e-11,3.58658945245697e-11,6.48936151171545e-11,4.46765568599342e-11,9.30899408214148e-11,1.80034333855516e-10,8.7418543480431e-11,6.03549258468458e-11,5.16927897849607e-11,1.55581451143031e-11,1.69429060157102e-11,1.06933307745324e-11,4.71470485177897e-12,1.74627723930506e-11,3.15943598301034e-11
0.06,2.04404562485317e-06,1.9618326866574e-11,2.91170922126121e-09,4.75042419690021e-09,3.03711443566192e-09,3.97349628023836e-11,1.39435354989165e-12,9.20152388665081e-12,1.44329188477525e-11,5.38551918087045e-12,5.04099254939901e-12,1.68556117922929e-12,1.07963673080343e-11,5.41369292530231e-12,1.07963673080343e-11,2.49925871635534e-12,2.12846384501511e-12,1.12576776553367e-12,1.31694934144752e-12,2.28635772860339e-12,5.44899250509036e-13,1.09356086893338e-12,1.89039013934132e-12
0.07,2.04529737112648e-07,1.15655049709207e-10,1.24608406664486e-10,7.08596240434969e-10,6.65056990186231e-10,3.90157369144982e-11,2.17575389585868e-11,6.53153914995526e-11,1.54136115193488e-10,3.9266054129295e-11,1.74367934533407e-11,1.10799484022673e-12,2.82886867285736e-12,4.15307473565285e-12,9.58714841139048e-12,5.43561814263016e-13,2.85436105720194e-13,2.37197466615162e-14,2.36217471325286e-14,1.01698443561352e-14,7.71049822271324e-14,6.87736626506426e-13,8.02112991464668e-13
0.08,3.29879362160424e-05,2.56113010383884e-09,1.14781814302267e-08,8.13569481924242e-09,7.07692370258252e-09,1.76792682297449e-09,1.64668408305913e-09,1.42698191425682e-09,3.16838619113392e-09,6.37861227004681e-10,1.80278414748325e-10,7.22631873305583e-11,3.17883637290959e-10,3.19413295916432e-10,2.57708807910207e-10,8.34750539313062e-11,9.63805742188402e-11,1.35994661815802e-11,2.37261357960266e-12,1.60726352681361e-12,1.08953697583559e-12,2.58093741790231e-12,8.1127964703574e-12
0.09,5.35575450128913e-05,1.13091754674808e-09,8.29780435579633e-09,5.38776622026178e-09,2.92279748120672e-09,4.96573190633996e-10,5.62464406694732e-10,9.37457127028185e-10,5.50360736424957e-10,4.14028395442216e-10,1.35023678337907e-09,9.79109505242548e-10,1.05677339182825e-09,1.48151134835157e-09,4.80062073469347e-09,2.17745772098313e-09,1.45699339364503e-09,3.52422489254821e-11,2.24392313970783e-11,3.43995830586821e-11,3.22240913582834e-11,7.0492004327904e-12,4.45646011772056e-12
0.1,9.83422697918545e-06,1.07888844151385e-09,7.83970322484895e-10,1.67845595610082e-09,1.60963757302166e-09,1.88190037789812e-10,1.72163814779039e-10,3.8170846038722e-10,4.93874733644283e-10,5.61282355919432e-10,3.97697084576922e-09,2.04913335110788e-09,5.88576781923107e-09,2.11718859175564e-09,1.98024642695418e-09,1.09062334792896e-09,1.98024642695418e-09,2.17615261422083e-10,6.90919320477394e-11,1.29386972878548e-10,1.84856379705575e-10,2.24573802341041e-11,6.63308195374891e-11
0.11,9.52073555042609e-06,3.7232693452985e-10,1.39956608360156e-09,1.6574808229211e-08,2.33361191635199e-09,5.82024988109213e-10,1.23481033187819e-10,1.17363203235204e-10,1.94599979414077e-11,6.10806435977614e-11,9.88764934273871e-11,5.13788906532553e-10,6.87065236343257e-10,4.2824693588295e-10,6.49700999184206e-10,4.59196414223913e-10,4.2824693588295e-10,4.23100692781831e-11,1.31704520487076e-11,3.34166053423812e-11,3.59870732488975e-11,1.99939401442982e-12,1.50119302543002e-12
