Row,countMat_enri1,countMat_enri2,countMat_enri3,countMat_enri4,countMat_enri5,countMat_enri6,countMat_enri7,countMat_enri8,countMat_enri9,countMat_enri10,countMat_enri11,countMat_enri12,countMat_enri13,countMat_enri14,countMat_enri15,countMat_enri16,countMat_enri17,countMat_enri18,countMat_enri19,countMat_enri20,countMat_enri21,countMat_enri22,countMat_enri23,countMat_enri24,countMat_enri25,countMat_enri26,countMat_enri27,countMat_enri28,countMat_enri29,countMat_enri30,countMat_enri31,countMat_enri32
"Acyl-CoA hydrolysis",0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"Acylglycerides metabolism",0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0,1,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0
"Alanine, aspartate and glutamate metabolism",0,0,0,0.05,0.7,0.9,0.05,0,0,0,0,0,0.35,0.5,1,0.05,0.05,0.55,0.15,0.05,0.25,0.15,0.2,0.05,0.1,0,0,0.35,0.15,0.05,0.05,0
"Amino sugar and nucleotide sugar metabolism",0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.818181818181818,0,0.0909090909090909,0,0,0,1,0,0.0909090909090909,0,0,0,0.545454545454545,0.272727272727273,0.181818181818182,0,0,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0,0,0
"Aminoacyl-tRNA biosynthesis",0.263157894736842,0,0,0,0.210526315789474,0.421052631578947,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,1,0.105263157894737,0,0,0,0,0,0.368421052631579,0.0526315789473684,0,0,0
"Androgen metabolism",1,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0.181818181818182,0,0,0,0,0,0.0909090909090909,0,0,0.363636363636364,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0
"Arachidonic acid metabolism",0.232558139534884,0,0.162790697674419,0.0232558139534884,0,0.0465116279069767,0.0465116279069767,0,0,0,0.511627906976744,0,0.13953488372093,0.13953488372093,1,0.255813953488372,0.0930232558139535,0.162790697674419,0,0.0465116279069767,0.0930232558139535,0,0.0232558139534884,0.27906976744186,0.13953488372093,0.0465116279069767,0.558139534883721,0,0.186046511627907,0.0465116279069767,0.0232558139534884,0.581395348837209
"Arginine and proline metabolism",0.148148148148148,0.148148148148148,0.0740740740740741,0.111111111111111,0.222222222222222,0.62962962962963,0.037037037037037,0.0740740740740741,0,0.0740740740740741,0.037037037037037,0.0740740740740741,0.259259259259259,0.555555555555556,1,0.037037037037037,0.0740740740740741,0.148148148148148,0.148148148148148,0,0.148148148148148,0,0.037037037037037,0,0,0.222222222222222,0.0740740740740741,0.0740740740740741,0.185185185185185,0,0,0.037037037037037
"Artificial reactions",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"Ascorbate and aldarate metabolism",0.6,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0.6,1,0,0,0.6,0,0,0.4,0,0.2,0,0,0.2,0,0.2,0.2,0,0,0
"Beta oxidation of branched-chain fatty acids (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0.157894736842105,1,0,0,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0,0,0,0,0,0
"Beta oxidation of even-chain fatty acids (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0.634615384615385,1,0,0,0.538461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of even-chain fatty acids (peroxisomal)",0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,1,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0
"Beta oxidation of odd-chain fatty acids (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.0555555555555556,1,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of odd-chain fatty acids (peroxisomal)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Beta oxidation of phytanic acid (peroxisomal)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0
"Beta-alanine metabolism",0,0,0,0,0.75,1,0,0,0,0,0,0,0,0,0.875,0,0,0.125,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0
"Bile acid biosynthesis",0.16030534351145,0.0152671755725191,0.0152671755725191,0.0152671755725191,0.0381679389312977,0.0458015267175573,0.0305343511450382,0,0.0229007633587786,0,0.0305343511450382,0,0.0534351145038168,0.0381679389312977,1,0.0152671755725191,0,0.0229007633587786,0.0305343511450382,0,0.0305343511450382,0.0229007633587786,0.0229007633587786,0.00763358778625954,0,0.267175572519084,0.00763358778625954,0.0152671755725191,0.0458015267175573,0,0.0229007633587786,0
"Bile acid recycling",0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0
"Biopterin metabolism",0.476190476190476,0,0,0,0.0476190476190476,0.0476190476190476,0,0,0,0,0,0,0,0.142857142857143,1,0.0476190476190476,0,0.0476190476190476,0,0,0.142857142857143,0,0,0,0,0,0.0476190476190476,0.238095238095238,0,0,0,0
"Biotin metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Blood group biosynthesis",0,0,0,0,0,0,0.260869565217391,0,0.91304347826087,0,0.608695652173913,0.0434782608695652,0,0,0.260869565217391,0.608695652173913,0.91304347826087,0,0,0,0.91304347826087,0,0.91304347826087,0.695652173913043,0.608695652173913,0.91304347826087,0,1,0.347826086956522,0,0,0.869565217391304
"Butanoate metabolism",0,0,0,0,0,0.8,0,0,0,0,0.6,0,0,0.6,1,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnitine shuttle (cytosolic)",0,0,0,0,0,0,0,0,0,0,0,0,1,0.978723404255319,0.234042553191489,0,0,0.978723404255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnitine shuttle (endoplasmic reticular)",0.0384615384615385,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,1,0.942307692307692,0.538461538461538,0,0,0.961538461538462,0,0,0.115384615384615,0,0,0,0,0,0,0,0,0,0,0
"Carnitine shuttle (mitochondrial)",0,0,0,0,0,0,0,0,0,0,0,0,0.974683544303797,0.974683544303797,1,0,0,0.936708860759494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnitine shuttle (peroxisomal)",0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,1,1,0,0,0.666666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"Cholesterol biosynthesis 1 (Bloch pathway)",0.555555555555556,0,0,0,0,0.666666666666667,0,0,0,0,0.111111111111111,0,0,0.111111111111111,1,0,0.111111111111111,0.777777777777778,0,0,0,0,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0
"Cholesterol biosynthesis 2",0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0
"Cholesterol biosynthesis 3 (Kandustch-Russell pathway)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cholesterol metabolism",0.653846153846154,0,0,0,0,0.307692307692308,0,0,0,0,0.115384615384615,0,0.0769230769230769,0.115384615384615,1,0,0.115384615384615,0.0384615384615385,0,0.0384615384615385,0,0,0,0,0,0.0384615384615385,0,0.0384615384615385,0.5,0,0,0
"Chondroitin / heparan sulfate biosynthesis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,0,0,0
"Chondroitin sulfate degradation",1,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.6,0,0,0
"Cysteine and methionine metabolism",0.133333333333333,0.0666666666666667,0,0.0666666666666667,0.533333333333333,0.6,0.133333333333333,0,0,0,0.0666666666666667,0,0.4,0.466666666666667,1,0.133333333333333,0.0666666666666667,0.333333333333333,0.0666666666666667,0,0.466666666666667,0,0,0,0,0.0666666666666667,0.0666666666666667,0.133333333333333,0.2,0,0,0
"Drug metabolism",0.222222222222222,0,0,0,0,0,0,0.111111111111111,0.555555555555556,0,0,0,0.111111111111111,0.111111111111111,1,0.444444444444444,0,0.111111111111111,0,0,0,0,0,0,0,0.666666666666667,0.444444444444444,0,0,0,0,0
"Eicosanoid metabolism",0,0,0.125,0,0.125,0.125,0,0.125,0.125,0.125,0.25,0.125,0.25,0,1,0,0,0,0.125,0,0,0,0.125,0.125,0.125,0.125,0,0.125,0,0,0,0.125
"Estrogen metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ether lipid metabolism",0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid activation (cytosolic)",0,0,0,0,0,0,0,0,0.046875,0,0,0,0.8125,0.921875,1,0,0,0.921875,0,0,0.03125,0,0,0,0,0.3125,0,0.046875,0,0,0,0
"Fatty acid activation (endoplasmic reticular)",0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.857142857142857,1,1,0,0,1,0,0,0,0,0,0,0,0.428571428571429,0,0,0,0,0,0
"Fatty acid biosynthesis",0.461538461538462,0,0.307692307692308,0.0384615384615385,0.307692307692308,0.269230769230769,0.461538461538462,0.0384615384615385,0,0.0384615384615385,0.269230769230769,0.0384615384615385,0.576923076923077,0.692307692307692,1,0.192307692307692,0.115384615384615,0.615384615384615,0.192307692307692,0,0,0,0,0.0384615384615385,0,0.0384615384615385,0,0,0.192307692307692,0,0,0
"Fatty acid biosynthesis (even-chain)",0,0,0.0333333333333333,0,0.5,0.733333333333333,0.933333333333333,0,0,0,0,0,0.0333333333333333,0.0333333333333333,1,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid biosynthesis (odd-chain)",0,0,0,0,1,0.551724137931034,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid biosynthesis (unsaturated)",0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0.9,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid desaturation (even-chain)",0.1,0,0.1,0,0.9,0.2,0,0,0,0,0,0,0.1,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid desaturation (odd-chain)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid elongation (even-chain)",0.0666666666666667,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,1,0.6,0.733333333333333,0,0.0666666666666667,0.933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid elongation (odd-chain)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fatty acid oxidation",0.00732600732600733,0,0,0,0.010989010989011,0.010989010989011,0.00366300366300366,0,0,0,0,0,0.73992673992674,0.772893772893773,1,0,0.00732600732600733,0.728937728937729,0.00366300366300366,0,0,0,0,0.0293040293040293,0,0.106227106227106,0,0.0183150183150183,0,0,0,0
"Folate metabolism",0.642857142857143,0,0.0476190476190476,0,0.0238095238095238,0.0238095238095238,0,0,0.0476190476190476,0,0.0952380952380952,0,0.0476190476190476,0.0714285714285714,1,0,0,0.0238095238095238,0,0,0.119047619047619,0,0,0,0.285714285714286,0.0476190476190476,0.642857142857143,0,0,0,0,0
"Formation and hydrolysis of cholesterol esters",0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.0555555555555556,0.388888888888889,0,0,0,0,1,0,0,0,0,0.666666666666667,0.722222222222222,0,0,0,0,0
"Fructose and mannose metabolism",0.285714285714286,0,0,0,0.285714285714286,0.571428571428571,0,0,0.285714285714286,0,0,0,0.142857142857143,0.428571428571429,0.285714285714286,0,0,0.428571428571429,0.142857142857143,0,1,0.285714285714286,0.142857142857143,0,0,0.428571428571429,0.285714285714286,0.714285714285714,0,0.428571428571429,0,0
"Galactose metabolism",0.222222222222222,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111,0.111111111111111,1,0,0,0.222222222222222,0.111111111111111,0,0.222222222222222,0.111111111111111,0,0,0,0.222222222222222,0,0,0,0.111111111111111,0,0
"Glucocorticoid biosynthesis",1,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.375,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
"Glutathione metabolism",0,0,0,0,0.0909090909090909,0.454545454545455,0.181818181818182,0,0,0,0,0,0.272727272727273,0.272727272727273,1,0,0,0.363636363636364,0,0,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0,0
"Glycerolipid metabolism",1,0.2,0,0,0.2,0.4,0,0.2,0,0,0,0,0.4,0.6,0.8,0.2,0,0.2,0.4,0,0.2,0.2,0,0,0,0,0.4,0.4,0.2,0,0,0
"Glycerophospholipid metabolism",0.166666666666667,0,0.166666666666667,0.133333333333333,0.366666666666667,1,0.1,0.0333333333333333,0,0.0333333333333333,0,0.0666666666666667,0.533333333333333,0.5,0.5,0.166666666666667,0,0.233333333333333,0.0333333333333333,0.0333333333333333,0.1,0.133333333333333,0.0333333333333333,0,0,0.133333333333333,0.2,0.1,0.166666666666667,0.0666666666666667,0.0333333333333333,0
"Glycine, serine and threonine metabolism",0.19047619047619,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.30952380952381,0.333333333333333,0,0.0476190476190476,0,0.0476190476190476,0,0.0476190476190476,0.0952380952380952,0.30952380952381,1,0.0476190476190476,0,0.0952380952380952,0,0.119047619047619,0.261904761904762,0.142857142857143,0.0238095238095238,0,0,0.0238095238095238,0.0476190476190476,0.0476190476190476,0.261904761904762,0.214285714285714,0.0714285714285714,0
